"","SITE","mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","mean_biweekly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01","mean_Bleaching_Alert_Area_CRW_Daily_YR01","q05_Bleaching_Alert_Area_CRW_Daily_YR01","q95_Bleaching_Alert_Area_CRW_Daily_YR01","sd_Bleaching_Alert_Area_CRW_Daily_YR01","mean_annual_range_Bleaching_Alert_Area_CRW_Daily_YR01","mean_monthly_range_Bleaching_Alert_Area_CRW_Daily_YR01","mean_biweekly_range_Bleaching_Alert_Area_CRW_Daily_YR01","mean_Bleaching_Hotspot_CRW_Daily_YR01","q05_Bleaching_Hotspot_CRW_Daily_YR01","q95_Bleaching_Hotspot_CRW_Daily_YR01","sd_Bleaching_Hotspot_CRW_Daily_YR01","mean_annual_range_Bleaching_Hotspot_CRW_Daily_YR01","mean_monthly_range_Bleaching_Hotspot_CRW_Daily_YR01","mean_biweekly_range_Bleaching_Hotspot_CRW_Daily_YR01","DHW.Np10y_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.Np10y_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MeanMax_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MeanMax_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.CI95Max_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.CI95Max_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MeanDur_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MeanDur_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MaxMax_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.MaxMax_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.YearsToLast_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.YearsToLast_Major_Degree_Heating_Weeks_CRW_Daily_YR01","DHW.Np10y_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.Np10y_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MeanMax_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MeanMax_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.CI95Max_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.CI95Max_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MeanDur_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MeanDur_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MaxMax_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.MaxMax_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.YearsToLast_Degree_Heating_Weeks_jplMUR_Daily_YR01","DHW.YearsToLast_Major_Degree_Heating_Weeks_jplMUR_Daily_YR01","mean_Marine_Heatwave_CRW_Daily_YR01","q05_Marine_Heatwave_CRW_Daily_YR01","q95_Marine_Heatwave_CRW_Daily_YR01","sd_Marine_Heatwave_CRW_Daily_YR01","mean_annual_range_Marine_Heatwave_CRW_Daily_YR01","mean_monthly_range_Marine_Heatwave_CRW_Daily_YR01","mean_biweekly_range_Marine_Heatwave_CRW_Daily_YR01","mean_Sea_Surface_Temperature_CRW_Daily_YR01","q05_Sea_Surface_Temperature_CRW_Daily_YR01","q95_Sea_Surface_Temperature_CRW_Daily_YR01","sd_Sea_Surface_Temperature_CRW_Daily_YR01","mean_annual_range_Sea_Surface_Temperature_CRW_Daily_YR01","mean_monthly_range_Sea_Surface_Temperature_CRW_Daily_YR01","mean_biweekly_range_Sea_Surface_Temperature_CRW_Daily_YR01","mean_Sea_Surface_Temperature_jplMUR_Daily_YR01","q05_Sea_Surface_Temperature_jplMUR_Daily_YR01","q95_Sea_Surface_Temperature_jplMUR_Daily_YR01","sd_Sea_Surface_Temperature_jplMUR_Daily_YR01","mean_annual_range_Sea_Surface_Temperature_jplMUR_Daily_YR01","mean_monthly_range_Sea_Surface_Temperature_jplMUR_Daily_YR01","mean_biweekly_range_Sea_Surface_Temperature_jplMUR_Daily_YR01","LATITUDE","LONGITUDE","date","mean_PM","sd_PM","maxPM","minPM","n","se"
"1","TUT-210",1.43561643835616,0,4,1.56694651821236,2.5,0.833333333333333,0.481481481481481,1.15068493150685,0,4,1.47573070815329,2.5,1.25,0.777777777777778,0.184712331058228,-1.50999999046326,1.56600003242493,0.956630555136676,2.80500000715256,1.00083332757155,0.615185185439057,10.0068493150685,10.0068493150685,14.6300001144409,14.6300001144409,NA,NA,229,146,14.6300001144409,14.6300001144409,0.0246406570841889,0.112251882272416,10.0343406593407,10.0343406593407,19.1550903320312,19.1550903320312,NA,NA,123,96,19.1550903320312,19.1550903320312,0.131416837782341,0.186173853524983,0.0166666666666667,0,0,0.129099444873581,1,0.5,0.2,29.104712285081,27.4099998474121,30.4859996795654,0.956630592642191,2.80500030517578,1.00083367029826,0.615185066505715,28.9152630270344,27.4624004364014,30.3860004425049,0.932016842589759,2.88200092315674,1.22775014241536,0.879592542295103,-14.301899,-170.679903,2025-02-07,8.63636363636364,14.1581971117281,50,0,11,4.26885704795414
"2","TUT-211",1.41369863013699,0,4,1.51778061189678,2.5,0.833333333333333,0.481481481481481,1.12602739726027,0,4,1.44705340975235,2.5,1.16666666666667,0.777777777777778,0.1808493178644,-1.51799998283386,1.56600003242493,0.957361352140768,2.81000000238419,1.01249998062849,0.629259249264443,10.0068493150685,10.0068493150685,14.4300003051758,14.4300003051758,NA,NA,229,131,14.4300003051758,14.4300003051758,0.0246406570841889,0.114989733059548,10.0343406593407,10.0343406593407,13.4450359344482,13.4450359344482,NA,NA,104,93,13.4450359344482,13.4450359344482,0.183436002737851,0.191649555099247,0.0166666666666667,0,0,0.129099444873581,1,0.5,0.2,29.1008492874773,27.4019996643066,30.4859996795654,0.957361319163074,2.80999851226807,1.01249965031942,0.629259180139612,28.926161674604,27.4659996032715,30.3705997467041,0.931263315765222,2.85100078582764,1.24416700998942,0.883296401412399,-14.360358,-170.748776,2025-02-07,5,NA,5,5,1,NA
"3","TUT-212",1.47592954990215,0,4,1.54169253081371,2.5,0.833333333333333,0.444444444444444,1.19491193737769,0,4,1.471767213975,2.5,1.20238095238095,0.841269841269841,0.208634052047262,-1.49228571823665,1.60600001811981,0.957000214901387,2.81785713774817,1.02166666090488,0.633809521547938,10.0068493150685,10.0068493150685,15.2957141058786,15.2957141058786,NA,NA,236,148,15.2957141058786,15.2957141058786,0.0219028062970568,0.106776180698152,10.0343406593407,10.0343406593407,18.3957347869873,18.3957347869873,NA,NA,149,100,18.3957347869873,18.3957347869873,0.183436002737851,0.191649555099247,0.0404761904761905,0,0.292857142857142,0.15580914689812,1,0.5,0.257142857142857,29.1400626046317,27.4391427721296,30.5374288831438,0.957000214397131,2.81785706111363,1.02166675385975,0.633809589204334,28.9497205342332,27.4633995056152,30.4481994628906,0.940644799310262,2.82699966430664,1.29058361053467,0.908852047390408,-14.338095,-170.793296,2025-02-07,22.05,26.8098240700432,90,0,40,4.2390053864871
"4","TUT-213",1.49716242661448,0,4,1.5538073359414,2.5,0.833333333333333,0.421296296296296,1.2325831702544,0,4,1.50092503729118,2.5,1.22916666666667,0.853174603174603,0.226315558483503,-1.48128571382591,1.63360713464873,0.95569511421078,2.81785711912172,1.02947915562739,0.640456344699487,10.0068493150685,10.0068493150685,15.7944640772683,15.7944640772683,NA,NA,236,151,15.7944640772683,15.7944640772683,0.0219028062970568,0.101300479123888,10.0343406593407,10.0343406593407,20.6169414520264,20.6169414520264,NA,NA,174,102,20.6169414520264,20.6169414520264,0.114989733059548,0.186173853524983,0.0571428571428571,0,0.558928571428571,0.192742769421587,1,0.5,0.332142857142857,29.1652441130226,27.4576427664076,30.5725360666003,0.955695106898374,2.81785729953221,1.02947931346439,0.640456344715502,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,2.82750034332275,1.34025049209595,0.942963140982169,-14.329327,-170.83181,2025-02-07,24.5666666666667,28.0008272678436,90,0,60,3.61489125627963
"5","TUT-125",1.47592954990215,0,4,1.54169253081371,2.5,0.833333333333333,0.444444444444444,1.19491193737769,0,4,1.471767213975,2.5,1.20238095238095,0.841269841269841,0.208634052047262,-1.49228571823665,1.60600001811981,0.957000214901387,2.81785713774817,1.02166666090488,0.633809521547938,10.0068493150685,10.0068493150685,15.2957141058786,15.2957141058786,NA,NA,236,148,15.2957141058786,15.2957141058786,0.0219028062970568,0.106776180698152,10.0343406593407,10.0343406593407,16.921667098999,16.921667098999,NA,NA,149,96,16.921667098999,16.921667098999,0.183436002737851,0.191649555099247,0.0404761904761905,0,0.292857142857142,0.15580914689812,1,0.5,0.257142857142857,29.1400626046317,27.4391427721296,30.5374288831438,0.957000214397131,2.81785706111363,1.02166675385975,0.633809589204334,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,2.85249996185303,1.29858350753784,0.915407463356301,-14.349654,-170.788046,2025-02-08,44.2727272727273,35.9525902347626,96,0,22,7.6651179928911
"6","TUT-143",1.43013698630137,0,4,1.52043632866847,2.5,0.833333333333333,0.481481481481481,1.13972602739726,0,4,1.45809032548065,2.5,1.16666666666667,0.814814814814815,0.18463013753397,-1.51999998092651,1.58000004291534,0.957833913658771,2.81000003218651,1.01666666194797,0.63074073885326,10.0068493150685,10.0068493150685,14.6599998474121,14.6599998474121,NA,NA,233,133,14.6599998474121,14.6599998474121,0.0246406570841889,0.112251882272416,10.0343406593407,10.0343406593407,14.2508382797241,14.2508382797241,NA,NA,104,90,14.2508382797241,14.2508382797241,0.183436002737851,0.205338809034908,0.0333333333333333,0,0,0.181020334719393,1,0.5,0.4,29.1146301217275,27.4099998474121,30.5100002288818,0.957833902380215,2.8100004196167,1.01666688919067,0.630740766172056,28.9266438836921,27.4802005767822,30.3997997283936,0.934574449516127,2.89700031280518,1.25324996312459,0.895629741527416,-14.365158,-170.761604,2025-02-08,7.56756756756757,17.414139434731,75,0,37,2.86286688786406
"7","TUT-168",1.43013698630137,0,4,1.52043632866847,2.5,0.833333333333333,0.481481481481481,1.13972602739726,0,4,1.45809032548065,2.5,1.16666666666667,0.814814814814815,0.18463013753397,-1.51999998092651,1.58000004291534,0.957833913658771,2.81000003218651,1.01666666194797,0.63074073885326,10.0068493150685,10.0068493150685,14.6599998474121,14.6599998474121,NA,NA,233,133,14.6599998474121,14.6599998474121,0.0246406570841889,0.112251882272416,10.0343406593407,10.0343406593407,14.3590135574341,14.3590135574341,NA,NA,149,95,14.3590135574341,14.3590135574341,0.183436002737851,0.194387405886379,0.0333333333333333,0,0,0.181020334719393,1,0.5,0.4,29.1146301217275,27.4099998474121,30.5100002288818,0.957833902380215,2.8100004196167,1.01666688919067,0.630740766172056,28.9340876905885,27.4593994140625,30.434400177002,0.939871330478429,2.89000034332275,1.28633340199788,0.911592695448134,-14.360877,-170.781335,2025-02-08,26.2666666666667,28.3345979008393,90,0,90,2.98672886505593
"8","TUT-169",1.49716242661448,0,4,1.5538073359414,2.5,0.833333333333333,0.421296296296296,1.2325831702544,0,4,1.50092503729118,2.5,1.22916666666667,0.853174603174603,0.226315558483503,-1.48128571382591,1.63360713464873,0.95569511421078,2.81785711912172,1.02947915562739,0.640456344699487,10.0068493150685,10.0068493150685,15.7944640772683,15.7944640772683,NA,NA,236,151,15.7944640772683,15.7944640772683,0.0219028062970568,0.101300479123888,10.0343406593407,10.0343406593407,18.704626083374,18.704626083374,NA,NA,149,100,18.704626083374,18.704626083374,0.183436002737851,0.191649555099247,0.0571428571428571,0,0.558928571428571,0.192742769421587,1,0.5,0.332142857142857,29.1652441130226,27.4576427664076,30.5725360666003,0.955695106898374,2.81785729953221,1.02947931346439,0.640456344715502,28.968347946585,27.4871997833252,30.4741996765137,0.944729234854438,2.80100154876709,1.30816698074341,0.921481521041305,-14.330384,-170.812348,2025-02-08,59.5084745762712,37.9574956848769,99,0,59,4.94164502677344
"9","TUT-115",1.52054794520548,0,4,1.58555974309744,2.5,0.833333333333333,0.481481481481481,1.26575342465753,0,4,1.54174683092975,2.5,1.25,0.851851851851852,0.220849315199542,-1.46800003051758,1.62599999904633,0.956309638061836,2.79999995231628,0.987499994536241,0.617777772523739,10.0068493150685,10.0068493150685,15.8400001525879,15.8400001525879,NA,NA,235,171,15.8400001525879,15.8400001525879,0.0246406570841889,0.101300479123888,10.0343406593407,10.0343406593407,20.1256217956543,20.1256217956543,NA,NA,142,97,20.1256217956543,20.1256217956543,0.128678986995209,0.188911704312115,0.0666666666666667,0,1,0.251548874293232,1,0.5,0.2,29.1308493470492,27.442000579834,30.5360008239746,0.956309640109389,2.79999923706055,0.987499713897705,0.617777859723126,28.9076465972482,27.4224006652832,30.4678005218506,0.951149018690076,3.10799980163574,1.3258334795634,0.967074358904803,-14.273272,-170.570134,2025-02-11,2.77777777777778,3.63241578628389,10,0,9,1.21080526209463
"10","TUT-076",1.42739726027397,0,4,1.55249358742749,2.5,1,0.518518518518518,1.16986301369863,0,4,1.47829395018759,2.5,1.25,0.777777777777778,0.203397261917795,-1.48800001144409,1.63199999332428,0.956346626298366,2.80000001192093,0.988333329558372,0.612222220610689,10.0068493150685,10.0068493150685,15.0699996948242,15.0699996948242,NA,NA,234,148,15.0699996948242,15.0699996948242,0.0246406570841889,0.109514031485284,10.0343406593407,10.0343406593407,17.6321678161621,17.6321678161621,NA,NA,118,94,17.6321678161621,17.6321678161621,0.131416837782341,0.186173853524983,0.0333333333333333,0,0,0.181020334719393,1,0.5,0.2,29.1233972471054,27.4320003509521,30.5519996643066,0.956346631292149,2.80000019073486,0.988333543141683,0.612222247653537,28.9047369865522,27.4254001617432,30.3842002868652,0.937740162587752,2.9739990234375,1.25825007756551,0.918962973135489,-14.283504,-170.631611,2025-02-12,22.5454545454545,31.2069339614248,80,0,11,9.40924461885866
"11","TUT-109",1.42739726027397,0,4,1.55249358742749,2.5,1,0.518518518518518,1.16986301369863,0,4,1.47829395018759,2.5,1.25,0.777777777777778,0.203397261917795,-1.48800001144409,1.63199999332428,0.956346626298366,2.80000001192093,0.988333329558372,0.612222220610689,10.0068493150685,10.0068493150685,15.0699996948242,15.0699996948242,NA,NA,234,148,15.0699996948242,15.0699996948242,0.0246406570841889,0.109514031485284,10.0343406593407,10.0343406593407,17.4555721282959,17.4555721282959,NA,NA,118,94,17.4555721282959,17.4555721282959,0.131416837782341,0.186173853524983,0.0333333333333333,0,0,0.181020334719393,1,0.5,0.2,29.1233972471054,27.4320003509521,30.5519996643066,0.956346631292149,2.80000019073486,0.988333543141683,0.612222247653537,28.8995890369154,27.4379997253418,30.4158004760742,0.941299137503641,3.03099918365479,1.29008324940999,0.941259172227648,-14.284747,-170.600404,2025-02-12,12.6333333333333,23.1659620510958,95,0,90,2.44190680901629
"12","TUT-120",1.48493150684931,0,4,1.5576531403799,2.5,0.833333333333333,0.444444444444444,1.19452054794521,0,4,1.49466913635979,2.5,1.25,0.851851851851852,0.209890411482894,-1.47800002098084,1.61800000667572,0.956759633367271,2.7950000166893,0.997500004867713,0.615185185990952,10.0068493150685,10.0068493150685,15.289999961853,15.289999961853,NA,NA,234,150,15.289999961853,15.289999961853,0.0246406570841889,0.106776180698152,10.0343406593407,10.0343406593407,19.4019107818604,19.4019107818604,NA,NA,119,96,19.4019107818604,19.4019107818604,0.128678986995209,0.183436002737851,0.0333333333333333,0,0,0.181020334719393,1,0.5,0.2,29.1298904157665,27.442000579834,30.538000869751,0.956759600255408,2.79500007629395,0.997499942779541,0.615185278433341,28.9038685106251,27.4417995452881,30.3728000640869,0.932995218614909,2.93299961090088,1.23116668065389,0.900889078776042,-14.293418,-170.65432,2025-02-12,35.8571428571429,26.302272217615,75,1,7,9.9413244576761
"13","TUT-204",1.52054794520548,0,4,1.58555974309744,2.5,0.833333333333333,0.481481481481481,1.26575342465753,0,4,1.54174683092975,2.5,1.25,0.851851851851852,0.220849315199542,-1.46800003051758,1.62599999904633,0.956309638061836,2.79999995231628,0.987499994536241,0.617777772523739,10.0068493150685,10.0068493150685,15.8400001525879,15.8400001525879,NA,NA,235,171,15.8400001525879,15.8400001525879,0.0246406570841889,0.101300479123888,10.0343406593407,10.0343406593407,18.5172061920166,18.5172061920166,NA,NA,124,95,18.5172061920166,18.5172061920166,0.128678986995209,0.188911704312115,0.0666666666666667,0,1,0.251548874293232,1,0.5,0.2,29.1308493470492,27.442000579834,30.5360008239746,0.956309640109389,2.79999923706055,0.987499713897705,0.617777859723126,28.8984794564443,27.405199432373,30.4215999603271,0.947164194890468,3.09749984741211,1.33325004577637,0.961777793036567,-14.29099,-170.560818,2025-02-12,8.6,8.50294066779253,20,0,5,3.80263066836631
