"","SITE","lat","DHW_Mean","DHW_MeanMax_Major","DHW_Dur","DHW_Dur_Major","DHW_Max_Major","DHW_Max_Major5","SST_AnnRange","SST_MonthRange","SST_Mean","SST_Q05","SST_Q95","SST_SD","SST_BiweekRange","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period","month","prop_DEAD"
"1","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,7,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"2","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"3","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"4","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,11,11.5824,60,10,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0.1
"5","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"6","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"7","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,7,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"8","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"9","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"10","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"11","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"12","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"13","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"14","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"15","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"16","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"17","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"18","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,10,9.144,60,10,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0.1
"19","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"20","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"21","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,8,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"22","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,5,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"23","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"24","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,7,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"25","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"26","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,10,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"27","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"28","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,11,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching",3,0
"29","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,9,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"30","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,10,10.9728,60,5,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0.05
"31","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,5,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"32","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,9,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"33","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,12,10.9728,60,10,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0.1
"34","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,6,10.9728,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"35","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,6,11.5824,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"36","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,11,11.5824,60,10,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0.1
"37","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,7,11.5824,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching",3,0
"38","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,11,12.4968,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"39","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,7,12.4968,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"40","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,10,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"41","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,10,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"42","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,12,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"43","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,10,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"44","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,5,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"45","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,12,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"46","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,10,9.144,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"47","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,11,12.4968,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"48","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,10,12.4968,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"49","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169,2025-03-14,6,12.4968,60,0,-14.329052,-170.831801,2025,"Q20","esa","Post-Bleaching",3,0
"50","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596,2025-03-15,9,13.716,60,0,-14.336157,-170.796416,2025,"Q20","esa","Post-Bleaching",3,0
"51","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596,2025-03-15,11,13.716,60,3,-14.336157,-170.796416,2025,"Q20","esa","Post-Bleaching",3,0.03
"52","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596,2025-03-15,11,13.716,60,0,-14.336157,-170.796416,2025,"Q20","esa","Post-Bleaching",3,0
"53","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596,2025-03-15,10,12.8016,60,0,-14.336157,-170.796416,2025,"Q20","esa","Post-Bleaching",3,0
"54","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596,2025-03-15,10,12.8016,60,5,-14.336157,-170.796416,2025,"Q20","esa","Post-Bleaching",3,0.05
